0,1,2
0,2,10
0,4,1
0,5,1
0,6,1
0,7,3
0,11,2
0,12,1
0,14,1
1,2,29
1,3,13
1,4,7
1,5,2
1,6,2
1,7,3
1,8,5
1,9,7
1,10,6
1,11,7
1,12,3
1,13,4
1,14,5
1,15,3
1,16,5
1,17,2
1,18,1
1,20,2
1,21,2
1,22,1
2,3,8
2,4,8
2,5,5
2,6,1
2,7,4
2,8,3
2,9,7
2,10,2
2,11,5
2,12,2
2,13,5
2,14,5
2,15,3
2,16,3
2,17,1
2,19,1
2,20,1
2,21,2
2,22,1
3,4,1
3,5,1
3,8,1
3,9,1
3,12,1
3,13,1
3,14,1
3,15,1
3,16,2
4,6,2
4,8,1
4,9,1
4,11,3
4,13,2
4,14,1
5,10,1
5,15,1
6,10,2
6,13,1
7,10,1
7,11,1
7,16,1
10,11,1
11,12,1
11,14,1
11,16,1
12,14,1
