#Name;ICAO ID;City;Alternate Name
ABERPORTH;EGFA;;WEST WALES
ALDERGROVE;EGAA;Belfast;BELFAST INTL
BARKSTON HEATH;EGYE;;
BENBECULA;EGPL;;
BENSON;EGUB;;
BIGGIN HILL;EGKB;;
BIRMINGHAM;EGBB;;
BLACKBUSHE;EGLK;;
BLACKPOOL;EGNH;;
BOSCOMBE DOWN;EGDM;;
BOURNEMOUTH;EGHH;;
BRISTOL;EGGD;;
BRISTOL FILTON;EGTG;Bristol;
BRIZE NORTON;EGVN;;
BROUGH;EGNB;;
CAERNARFON;EGCK;;
CAMBRIDGE;EGSC;;
CAMPBELTOWN;EGEC;;
CARDIFF;EGFF;;
CARLISLE;EGNC;;
CHALGROVE;EGLJ;;
CHIVENOR;EGDC;;
CHURCH FENTON;EGXG;;
LONDON CITY;EGLC;London;LONDON
BELFAST CITY;EGAC;Belfast;BELFAST
COLERNE;EGUO;;
CONINGSBY;EGXC;;
CONINGTON;EGSF;Peterbourgh;PETERBOROUGH
COSFORD;EGWC;;
COTTESMORE;EGXJ;;
COVENTRY;EGBE;;
CRANFIELD;EGTC;;
CRANWELL;EGYD;;CRANWELL SOUTH
CULDROSE;EGDR;;
DISHFORTH;EGXD;;
DONCASTER SHEFFIELD;EGCN;;ROBIN HOOD
DUNDEE;EGPN;;
DUNKESWELL;EGTU;;
DURHAM TEES VALLEY AIRPORT;EGNV;;TEESSIDE
DUXFORD;EGSU;;
DYCE;EGPD;Aberdeen;ABERDEEN
EDINBURGH;EGPH;;
EXETER;EGTE;;
FAIRFORD;EGVA;;
FARNBOROUGH;EGLF;;
GAMSTON;EGNE;;GAMSTON RETFORD
GATWICK;EGKK;London;
GLASGOW;EGPF;;
GLOUCESTERSHIRE;EGBJ;Gloucester/Cheltenham;
HAVERFORDWEST;EGFE;;WITHYBUSH
HAWARDEN;EGNR;;
HEATHROW;EGLL;London;
HONINGTON;EGXH;;
HUMBERSIDE;EGNJ;;
INVERNESS;EGPE;;DALCROSS
ISLAY;EGPI;;
KEMBLE;EGBP;;
KIDLINGTON;EGTK;Oxford;OXFORD
KINLOSS;EGQK;Elgin;
KIRKWALL;EGPA;;
LAKENHEATH;EGUL;;
LASHAM;EGHL;;
LEEDS BRADFORD;EGNM;;
LEEMING;EGXE;;
LEICESTER;EGBG;;
LEUCHARS;EGQL;;MEDA
LINTON ON OUSE;EGXU;York;
LIVERPOOL;EGGP;;JOHN LENNON
LLANBEDR;EGOD;;
LONDONDERRY EGLINTON;EGAE;;DERRY
LOSSIEMOUTH;EGQS;;LOSSIE
LUTON;EGGW;;
LYDD;EGMD;;
LYNEHAM;EGDL;;
MANCHESTER;EGCC;;
MANCHESTER WOODFORD;EGCD;;
MANSTON;EGMH;;
MARHAM;EGYM;;
MILDENHALL;EGUN;;
NEWCASTLE;EGNT;;
NORTH WEALD;EGSX;;
NORTHOLT;EGWU;;
NORWICH;EGSH;;
NOTTINGHAM;EGBN;;
NOTTINGHAM EAST MIDLANDS;EGNX;;EAST MIDLANDS
OBAN;EGEO;;NORTH CONNEL
ODIHAM;EGVO;;
PERRANPORTH;EGTP;;
PLYMOUTH;EGHD;;
PREDANNACK;EGDO;;
PRESTWICK;EGPK;;
SCAMPTON;EGXP;;
SCATSTA;EGPM;;
SHAWBURY;EGOS;;
SHEFFIELD CITY;EGSY;;
SHOREHAM;EGKA;;
SOUTHAMPTON;EGHI;;EASTLEIGH
SOUTHEND;EGMC;;
ST ANGELO;EGAB;Enniskillen;ENNISKILLEN
ST ATHAN;EGDX;;
ST MAWGAN;EGDG;;
STANSTED;EGSS;London;
STORNOWAY;EGPO;;
SUMBURGH;EGPB;;
SWANSEA;EGFH;;
SYERSTON;EGXY;;
TERNHILL;EGOE;;
TIREE;EGPU;;
TOPCLIFFE;EGXZ;;
TURWESTON;EGBT;;
VALLEY;EGOV;;
WADDINGTON;EGXW;;
WALNEY ISLAND;EGNL;Barrow;BARROW
WARTON;EGNO;;
WATTISHAM;EGUW;;
WELLESBOURNE MOUNTFORD;EGBW;;
WELSHPOOL;EGCW;;
WICK;EGPC;;
WITTERING;EGXT;;
WOLVERHAMPTON;EGBO;;HALFPENNY GREEN
WOODVALE;EGOW;;
WYTON;EGUY;;
YEOVILTON;EGDY;;
